Stem,Year,DBH,Comment
14446,1996,14.9,NA
14446,1999,15.9,NA
14446,2002,17,NA
14446,2005,18.3,NA
14446,2014,21.1,NA
14447,1993,4.8,NA
14447,1996,4.8,NA
14447,1999,4.9,NA
14447,2002,5.1,NA
14447,2005,5.4,NA
14447,2014,6,NA
14448,1993,5.5,NA
14448,1996,5.5,NA
14448,1999,6,NA
14448,2002,6.1,NA
14448,2005,6.8,NA
14448,2014,9.4,NA
WF149,2014,3,NA
WF154,2014,3.9,NA
WF155,2014,3.3,NA
15119,1999,3.6,NA
15119,2002,4.3,NA
15119,2005,5.2,NA
15119,2014,6.7,bark-stripped
15216,2002,3.2,NA
15216,2005,4.8,NA
15216,2014,7.3,bark-stripped
15217,2002,3.3,NA
15217,2005,4.7,NA
15217,2014,6,NA
15218,2002,3.3,NA
15218,2005,4,NA
15218,2014,4.5,NA
15259,2005,3.2,NA
15259,2014,3.8,NA
15260,2005,3.5,NA
15260,2014,4.1,NA
15261,2005,3.4,NA
15261,2014,4.3,NA
15262,2005,3.2,NA
15262,2014,4.2,NA
15263,2005,5,NA
15263,2014,9.3,bark-stripped
15264,2005,4.3,NA
15264,2014,6,bark-stripped
15265,2005,3.3,NA
15265,2014,6.3,bark-stripped
15266,2005,4.4,NA
15266,2014,5.4,NA
15267,2005,3.8,NA
15267,2014,8.3,bark-stripped
15429,1993,17.5,NA
15429,1996,18.7,NA
15429,1999,19,NA
15429,2002,19.6,NA
15429,2005,20.7,NA
15429,2014,23.4,NA
15431,1993,5.1,NA
15431,1996,4.9,NA
15431,1999,NA,dead
15432,1993,9.5,NA
15432,1996,10.3,NA
15432,1999,11.3,NA
15432,2002,12.7,stem broken
15432,2005,13,NA
15432,2014,NA,dead
15433,1993,21.9,NA
15433,1996,22.2,NA
15433,1999,22.4,NA
15433,2002,NA,dead
15434,1993,5.7,NA
15434,1996,5.7,NA
15434,1999,5.7,NA
15434,2002,5.7,NA
15434,2005,6.4,NA
15434,2014,7.3,NA
15435,1993,3.2,NA
15435,1996,3.4,NA
15435,1999,3.7,NA
15435,2002,3.7,NA
15435,2005,3.7,NA
15435,2014,3.8,bark-stripped
15436,1996,3,NA
15436,1999,3.1,NA
15436,2002,3.2,NA
15436,2005,3.2,NA
15436,2014,NA,dead
15606,1996,3.5,NA
15606,1999,3.7,NA
15606,2002,3.6,NA
15606,2005,3.8,NA
15606,2014,NA,dead
WF160,2014,4.6,NA
WF161,2014,4.5,bark-stripped
WF165,2014,4.9,bark-stripped
WF166,2014,3.2,NA
WF171,2014,3.5,bark-stripped
WF172,2014,3.2,NA
